cableTypeId,size_mm2,phase,mV_per_A_m,condTemp_C,sourceTableRef,verified
sc_v75_cu,1,3ph,44.7,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,1.5,3ph,28.6,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,2.5,3ph,15.6,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,4,3ph,9.71,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,6,3ph,6.49,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,10,3ph,3.86,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,16,3ph,2.43,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,25,3ph,1.54,75,AS3008 T40 @75C max,TRUE
sc_v75_cu,1,1ph,51.63,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,1.5,1ph,33.03,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,2.5,1ph,18.02,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,4,1ph,11.22,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,6,1ph,7.496,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,10,1ph,4.458,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,16,1ph,2.807,75,AS3008 T40 @75C max x1.155,TRUE
sc_v75_cu,25,1ph,1.779,75,AS3008 T40 @75C max x1.155,TRUE
tps_v90_2c,1,3ph,46.8,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,1.5,3ph,30,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,2.5,3ph,16.4,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,4,3ph,10.2,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,6,3ph,6.8,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,10,3ph,4.05,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,16,3ph,2.55,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,25,3ph,1.61,90,AS3008 T42 @90C max,TRUE
tps_v90_2c,1,1ph,54.05,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,1.5,1ph,34.65,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,2.5,1ph,18.94,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,4,1ph,11.78,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,6,1ph,7.854,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,10,1ph,4.678,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,16,1ph,2.945,90,AS3008 T42 @90C max x1.155,TRUE
tps_v90_2c,25,1ph,1.86,90,AS3008 T42 @90C max x1.155,TRUE
sc_x90_cu,1,3ph,46.8,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,1.5,3ph,30,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,2.5,3ph,16.4,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,4,3ph,10.2,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,6,3ph,6.81,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,10,3ph,4.05,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,16,3ph,2.55,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,25,3ph,1.62,90,AS3008 T40 @90C max,TRUE
sc_x90_cu,1,1ph,54.05,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,1.5,1ph,34.65,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,2.5,1ph,18.94,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,4,1ph,11.78,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,6,1ph,7.866,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,10,1ph,4.678,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,16,1ph,2.945,90,AS3008 T40 @90C max x1.155,TRUE
sc_x90_cu,25,1ph,1.871,90,AS3008 T40 @90C max x1.155,TRUE
